#,dátum,értékelés,hitelesített,általános,pozitívumok,negatívumok
1,2026. 04. 03.,5,Igen,"Vajon miért kell a legnagyobb szarnak applikáció? hamarosan a WC-papírnak is lesz applikációja. Nem értem és nem is fogom megérteni. A lassabb töltést nem tartom hátránynak, nem zavar.",Kialakítás,"A tartozéktartó lehetett volna egy kicsit jobban megtervezett, de ennyi."
2,2026. 02. 21.,1,Igen,"Sajnos a fogkefe a fej és a test közötti térből szivárog. Megpróbáltam kicserélni a fejeket, de még mindig ugyanaz a probléma. Sajnálom, de egy fogkefével közel 5.000,-ért nem gondoltam volna, hogy ezzel fogok találkozni.",,Az ecset a fej és a test közötti térben áramlik. | Nagyon alacsony akkumulátor-üzemidő (kb. 6 nap)
3,2026. 01. 04.,5,Igen,"A második fogkefémet vásárolom ettől a márkától, és ismét rendkívül elégedett vagyok. Az eredeti Oral B io5 volt, ami 5 évig tartott. Ez az io6 még jobb és csendesebb. Szuper termék.","Nagyszerű fogkefe, tökéletesen tisztítja a lepedéket | Csendes működés | Akkumulátorjelző | Öt tisztítási mód",
4,2025. 12. 31.,5,Igen,Elégedett vagyok. Szuper alkalmazás. Intenzív tisztítás.,,
5,2025. 12. 03.,5,Igen,Karácsony után fogom használni. Ez egy ajándék.,,
6,2025. 11. 20.,5,Igen,Valóban nagyon hatékony lepedékeltávolítás - nagyságrendekkel jobb mint a régi rendszerek.,,
7,2025. 10. 18.,5,Igen,Nagyon jó fogkefe. Nagyszerűen tisztít és nagyon csendes.,Minőségi kidolgozás | Csendes | Jól tisztít | Intuitív alkalmazásvezérlés,Egy kicsit drágább | Pótfej nélkül szállítják
8,2025. 09. 14.,4,Igen,"Szuper belépő fogkefe az intelligens elektromos fogkefék világába. Szép kialakítás, könnyen használható. Nagyra értékelem a beállítás lehetőségét az alkalmazáson keresztül. A kefe viszonylag csendes és gyengéd. A legnagyobb hátránynak a töltési időt tartom — 15%-os töltés esetén 8 óra után sem töltődik fel teljesen.",Kialakítás | Minőségi kidolgozás | Intuitív alkalmazás | Csendes | Nagyon jól tisztít,Rendkívül hosszú töltési idő
9,2025. 07. 08.,4,Igen,Komfortos használni.,Többféle program | Nyomáskijelzés,Drága.
10,2025. 06. 07.,1,Igen,"Az ár, az áramfüggőség és a kellemetlen választási lehetőségek miatt legközelebb nem engednék meg magamnak hasonló luxust.",Azt az érzést kelti hogy mindent megtettél az egészségedért.,Amikor fogat mosol úgy érzed mintha légkalapácsot tettél volna a szádba. | A cseh nyelvet nem lehet beállítani az alkalmazásban.
11,2025. 05. 01.,5,Igen,"Tele van funkciókkal, de egyik sem felesleges, és könnyű használni. Csak kár a cserefejek ára miatt.",Ár-teljesítmény arány,A cserefejek ára
12,2025. 01. 29.,5,Igen,Szükségtelenül törékeny de egyébként jó.,,
13,2025. 01. 06.,5,Igen,"Összehasonlítás a korábbi Oral B 3000 sorozattal: csendesebb, szuper kijelző az akkumulátor töltöttségi százalékával, a kijelző mutatja az időt tisztítás közben (tükörképben is leolvasható), a színes fénygyűrű a megfelelő nyomást jelzi, képes alkalmazáshoz csatlakozni.",,
14,2024. 12. 25.,5,Igen,Ár-teljesítmény arány. Csendes. Több tisztítási mód.,,
15,2024. 12. 15.,4,Igen,"Nagyon elégedett vagyok. Az első közeli tapasztalatom a mágneses fogtisztítási technológiával. Kicsit szkeptikus voltam eleinte, de egyáltalán nem okoz fájdalmat vagy kellemetlenséget. A kefe többféle tisztítási móddal rendelkezik amelyek alkalmazkodnak a fogakhoz és a használati stílushoz.","App — szépen hangolt és egyszerű, igényes és nem igényes felhasználók számára egyaránt.",Nincs csere tisztítófej a csomagban — csak egy van.
16,2024. 12. 06.,5,Igen,"Fogászati higiénikus ajánlására vásároltam, első tapasztalatom az elektromos fogkefével, és nagyon meg vagyok elégedve.",Jól tisztít,Egyelőre nincs
17,2024. 12. 05.,5,Igen,"Körülbelül fél éve használom a kefét, és nagyra értékelem a tisztítási időzítőt. Szubjektíven úgy érzem, hogy a fogaim jobban tisztulnak mint a kézi fogmosással.",Jól tisztít,Nekem nincs
18,2024. 12. 02.,5,Igen,Alapvető információkat tartalmazó kijelző (tisztítási idő stb.). A legmodernebb iO technológia — szubjektíven jobban tisztít mint a régebbi forgókefe. Lehetőség az alkalmazáshoz való csatlakozásra.,,
19,2024. 12. 01.,5,Igen,"Érzékelők, nyomásjelzések. Gyönyörű munka a tisztítás. Az alkalmazásban jó, csak néha más helyet mutat amit a valósághoz képest tisztítok.",,
20,2024. 11. 18.,5,Igen,Minden rendben van. Megfelelően működik.,,
21,2024. 10. 27.,5,Igen,"Nagyon elégedett vagyok a választott ecsettel, megfelelt az elvárásaimnak, nagyszerűen működik, van kijelzője ahol mindent beállíthatok, és nincs szükségem egy alkalmazáshoz.",Gyönyörű és kiváló minőségű,A fogkefe és a pótfej ára
22,2024. 10. 22.,5,Igen,Egyszerű és világos működés. Jó akkumulátor-üzemidő. Csendes.,,
23,2024. 08. 04.,5,Igen,Nagyszerű fogkefe. Tökéletesen tiszta fogak. Kijelző és alkalmazás. Megjegyzést küld új fej vásárlásáról.,,
24,2024. 07. 21.,5,Igen,"Ez az első elektromos fogkefém és nem változtatnék. Minden elvárásnak megfelel. Nagyra értékelem a kisebb kefefejet, ami mindenhol elfér még a száj hátsó részén is.",Az ecset tökéletes mérete — mindenhova elfér | Hatékony tisztítás,Kétségbeejtően lassú töltés — 20% alatti lemerülésnél akár egész éjszakás töltés szükséges
25,2024. 06. 30.,5,Igen,Kiváló fogkefe. Sokkal jobban tisztít mint a hagyományos kézi fogkefe. Csendes és kényelmes.,Kiváló minőségű fogtisztítás,Hosszabb töltési idő
26,2024. 06. 20.,5,Igen,Egy fesztivál promóciója keretében lehetőségünk nyílt kipróbálni az Oral-B elektromos fogkefét és azonnal beleszerettünk. Tényleg nagy különbséget lehet látni a klasszikus fogkefével való tisztításhoz képest. A fogmosás nagyon szórakoztató. Mindenképpen ajánlom!,Minőségi tisztított fogak,A pótfejek magasabb ára
27,2024. 06. 12.,5,Igen,Professzionálisan tiszta fogak. Azóta minimális plakk és nincs új üreg.,,
28,2024. 03. 23.,5,Igen,Sokkal jobban tisztított fogak mint a régebbi modellekkel.,,Pontatlan helymeghatározó az alkalmazásban
29,2022. 05. 01.,5,Igen,"Nekem is van egy régi típusom és a teljesítménye összehasonlíthatatlanul jobb. Könnyűsúlyú, szuper a kézben.",,Üzemidő
30,2022. 04. 24.,4,Igen,Jó fogkefe. Az előző Oral B modellnél sokkal csendesebb.,,
31,2022. 04. 16.,5,Igen,"Hosszú idő után a Philipsről az Oral B-re váltottam. Az ecset nagyon jól kidolgozottnak tűnik. Tisztításkor csendes és kellemes a kéznek. Egy jól látható LED jelzi ha túl sokat vagy túl keveset nyomsz. Nagyon jól tisztítja a fogakat. Az iO 7-hez képest a fő különbség a hosszabb töltési idő — kb. 12 óra, de otthoni használatra ez nem zavaró.",Jó ár/minőség arány,Hosszabb töltési idő — de otthoni használatra elhanyagolható
32,2026. 01. 17.,4,Igen,"Elégedett vagyok az ecsettel. Elég sok üzemmódja van, bár én személyesen nem érzem a különbséget. Használata után a fogak valóban tiszták. A különbség a kézi kefékhez képest nagyon észrevehető. De a töltési idő nagyon hosszú.",Kapcsolat az alkalmazással,Töltési idő
33,2026. 01. 10.,5,Igen,Tényleg új dimenzió ahogyan tisztít. Hasznos az időzítő. Kompatibilis az előző töltőkkel. Egy feltöltés elég sokáig tart. Mutatja az erősséget.,,
34,2026. 01. 07.,5,Igen,Szuper fogkefe. Nagyon jól tisztít.,,
35,2025. 12. 28.,3,Igen,"A legrosszabb ebben a fogkefében az, hogy nagyon gyorsan lemerül. A napi 6 perces 100%-os töltés legfeljebb 5 napig tart párosított telefon használata nélkül. A töltés brutálisan hosszú.",Színes és világos kijelző,Hosszú töltési idő | Gyors akkumerülés (max. 5 nap)
36,2025. 11. 30.,5,Igen,"Az io 5-höz képest az io6 jobb súlyelosztással rendelkezik, nagyon jó.",,Töltési hossz
37,2025. 11. 13.,5,Igen,A fogkefe kiváló. Mindenkinek ajánlom.,,
38,2025. 10. 31.,5,Igen,"A fogkefét a gyermekeimnek fogászati higiénikus ajánlására szereztem be. A gyerekek izgatottak, szeretik a visszajelzésként kapott értékeléseket, és tudják hol tudnak javulni.",Egy alkalmazás amely visszajelzést ad.,
39,2025. 10. 31.,4,Igen,A fogkefe jó. Csakhogy nem sok fogkrém fér bele.,,
40,2025. 10. 30.,5,Igen,Nagyszerű fogkefe. A feleségem csak dicséri.,Tökéletesen megfelel a célnak,Semelyik
41,2025. 10. 27.,5,Igen,"Könnyű használat, áttekinthető kijelző, intuitív működtetés, kiváló ár/teljesítmény arány.",,Viszonylag lassú töltés
42,2025. 10. 26.,5,Igen,Megfelelően működik. Jó ár akcióban.,,
43,2025. 10. 16.,5,Igen,Összességében elégedett vagyok és csak ajánlani tudom — nagyon jól tisztítja a fogakat.,Nagyon jó minőségű tisztítás,Az előző fogkefénk 2 év után eltört — remélhetőleg az új tartósabb lesz.
44,2025. 10. 10.,5,Igen,"Nagyszerű tisztítás. A színes csík tökéletesen jelzi a megfelelő nyomást. Érzékeny mód elérhető. Ha van lehetőség, érdemes a fogorvosánál kipróbálni.",,Nem mindenki viseli jól a fogkefe rezgését
45,2025. 08. 04.,5,Igen,Eddig minden rendben.,,
46,2025. 05. 11.,4,Igen,"Elég hosszú ideig tart a töltés a korábbi modellekhez képest. A fogak gyönyörűen tiszták. A forgó 3D tisztítás jobban megfelel nekem mint a szónikus kefe. Több üzemmód választható, könnyű fejcsere.",,Hosszú töltési idő
47,2025. 04. 08.,5,Igen,Minőség és funkció. Kiváló termék.,,Drágább cserefejek
48,2025. 01. 20.,3,Igen,Már majdnem három éve használjuk a keféket. A tisztítással nincs semmi kifogásolnivaló — nagyszerűen tisztít (a fogorvos és a higiénikus eredményei szerint is) és csendes. Az alapvető probléma az akkumulátor megbízhatósága.,Nagyszerűen tisztít | Csendes,Az akkumulátor meghibásodási aránya — a kicserélt darabbal is hasonló probléma merült fel.
49,2025. 01. 19.,1,Igen,"Penész alakul ki a fejegységben illetve magában a fejben, végig az összes iO-nal típushiba sajnos. Remekül mos, de ez az egyetlen hátrány.",,Penész képződés a fejegységben — típushiba
50,2024. 12. 28.,5,Igen,"Hosszú idő után beadtam a derekam, és örülök neki. Konzultáltam a fogorvosommal is. Az iO technológia érzékeny fogakra is kiváló. Csendes, hatékony, és az alkalmazás is remek.",Alkalmazott technológia | Érzékeny fogakra is alkalmas,Csak egy töltő van a kombóhoz
